Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Boban Marjanovic (21604234),Boban Marjanovic,21604234,C/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,7.09
C,Marquese Chriss (21604236),Marquese Chriss,21604236,C/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,11.74
C,Moses Brown (21604238),Moses Brown,21604238,C/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,6.76
C,Jericho Sims (21604280),Jericho Sims,21604280,C/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,5.80
C,Nerlens Noel (21604282),Nerlens Noel,21604282,C/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,16.31
SF/PF,Eugene Omoruyi (21604300),Eugene Omoruyi,21604300,SF/PF/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,4.81
SF/PF,Aamir Simms (21604324),Aamir Simms,21604324,SF/PF/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,0
PF/C,Moses Wright (21604344),Moses Wright,21604344,PF/C/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,1.5
PG/SG,JaQuori McLaughlin (21604416),JaQuori McLaughlin,21604416,PG/SG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,0.75
PG/SG,Frank Ntilikina (21604420),Frank Ntilikina,21604420,PG/SG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,8.91
SG/SF,Sterling Brown (21604529),Sterling Brown,21604529,SG/SF/F/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,9.66
PG,Trey Burke (21604621),Trey Burke,21604621,PG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,9.33
PG,Luca Vildoza (21604666),Luca Vildoza,21604666,PG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,0
PG,Rokas Jokubaitis (21604669),Rokas Jokubaitis,21604669,PG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,0
PG,Matt Mooney (21604672),Matt Mooney,21604672,PG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,1.5
PG,Ryan Arcidiacono (21604675),Ryan Arcidiacono,21604675,PG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,1.17
PG,Miles McBride (21604678),Miles McBride,21604678,PG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,5.12
PF,Nicolo Melli (21604744),Nicolo Melli,21604744,PF/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,0
PF,Obi Toppin (21604819),Obi Toppin,21604819,PF/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,13.92
PF,Luka Samanic (21604822),Luka Samanic,21604822,PF/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,0
SG,Brandon Knight (21604870),Brandon Knight,21604870,SG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,17.58
SG,Damyean Dotson (21604927),Damyean Dotson,21604927,SG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,4
SG,Wayne Selden Jr. (21604930),Wayne Selden Jr.,21604930,SG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,2.75
SG,Tyler Hall (21604933),Tyler Hall,21604933,SG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,0
SF,Theo Pinson (21604963),Theo Pinson,21604963,SF/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,5.33
SF,George King (21604966),George King,21604966,SF/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,DAL,1.69
SF,Solomon Hill (21605026),Solomon Hill,21605026,SF/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,5.17
SF,Aaron Sims (21605029),Aaron Sims,21605029,SF/F/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,0
